score,brand,category,domain,founder,founder_role,emails,instagram,description,notes
7,Blueland,"beverage, home",blueland.com,,,help@blueland.com,https://www.instagram.com/blueland,Make sustainable choices effortless with our eco-friendly cleaning products. Shop powerful and affordable products designed for a cleaner home and planet.,
7,Boll and Branch,"beverage, bicycle, home",bollandbranch.com,,,help@bollandbranch.com,https://instagram.com/bollandbranch,"At Boll & Branch, we hold ourselves to a higher standard. Our organic bedding is toxin-free and Fair Trade Certified. Enjoy free shipping & returns on all U.S. orders of $100+.",
7,Bulletproof,"hair-care, health-wellness, pet",bulletproof.com,,,brand@bulletproof.com; care@bulletproof.com,https://www.instagram.com/bulletproof,"High-quality clean coffee tested for toxins and functional mix-ins—crafted for flavor, performance, and purity with uncompromising standards.",
7,ButcherBox,"food, lifestyle, personal-care-4",butcherbox.com,,,charity@butcherbox.com; support@butcherbox.com,https://instagram.com/butcher_box,"Better meat for a better you. Pasture-raised beef, chicken, lamb, and bison. Free-range organic chicken. Humanely raised pork. Wild-caught seafood. No a...",
7,Capsule,"cookware, health-wellness",capsule.com,,,help@capsule.com,https://www.instagram.com/capsulecares,Prescriptions delivered the same day. Your insurance accepted. Pharmacists who text. For free.,
7,Coterie,"hair-care, kids",coterie.com,,,hello@coterie.com,https://www.instagram.com/coterie,"High-performing diapers and baby wipes for uncompromising parents. Our diapers are ultra-soft, highly absorbent, and fast wicking, with clean ingredients for comfort and peace of mind.",
7,Cove,"bicycle, flower, health-wellness",withcove.com,,,care@withcove.com,https://www.instagram.com/withcove,Cove is a migraine treatment company that makes it easy to speak to a licensed medical provider online and get clinically-proven prescription medication delivered.,
7,Custom Comfort Mattress,"hair-care, home, swimsuit",customcomfortmattress.com,,,hello@customcomfortmattress.com,https://www.instagram.com/customcomfortmattress,Custom Comfort Mattress is USA made & is a healthy double-sided natural mattress that improves sleep & well-being. Free Delivery in the L.A. area.,
7,Dr. Squatch,"hair-care, health-wellness, jewelry",drsquatch.com,,,gabriel.rodriguez@drsquatch.com; support@storefront.com,https://www.instagram.com/drsquatch,"Dr. Squatch makes natural soap, deodorant, hair care & cologne built for men who want to ditch the drugstore junk. Handmade cold process bar soap in man...",
7,Droplet,"beverage, home",drinkdroplet.com,,,info@drinkdroplet.com,http://instagram.com/drinkdroplet,"Droplet is a line of stress-balancing, sparkling adaptogen drinks made with all natural ingredients and no artificial sweeteners, designed for self-care. Each flavor is an elegant, non-alcoholic, & he",
7,DSTNC,beverage,dstnc.com,,,hi@dstnc.com,https://instagram.com/shop.dstnc,"Discover our curated lineup of the latest releases and best-sellers from top cycling and performance wear brands, now up to 50% off. This once-a-year event won’t last long—shop your favorites while su",
7,easyplant,"fitness, home, personal-care-4",easyplant.com,,,hi@easyplant.com,https://www.instagram.com/easyplant,"Keep houseplants alive effortlessly with easyplant! Shop beautiful, live, indoor plants, potted in our simple, self-watering pots shipped free right to you.",
7,FFern,personal-care-4,ffern.co,,,concierge@ffern.co,https://www.instagram.com/ffern.co,"Ffern is an organic perfume maker based in Somerset, England. We release four perfumes per year, at the turn of the seasons. Strictly limited edition. Waiting list now open.",
7,Flowerbx,"fitness, flower, personal-care-4",flowerbx.com,,,contact@flowerbx.com,https://www.instagram.com/theflowerbx,"At FLOWERBX, we source directly from the grower to produce luxury flower arrangements. Shop the diverse collection to arrange your luxury flower delivery today.",
7,Frühling,"bicycle, food, pet",fruhling.co,,,,https://www.instagram.com/p/dc4zsfnrkpd,Healthy snack foods made with love using the highest quality superfood ingredients 🌸,
7,GA Pizza,"beverage, flower, food, home",gapizza.com,,,restaurant@gapizza.com,https://www.instagram.com/ga_pizza,"Find fresh, hot General Assembly Pizza near you. Come together over pizza. Savour community and General Assembly’s signature naturally leavened pies in our stylish dining room with cocktails, wine, an",
7,Gantri,"food, hair-care, home",gantri.com,,,support@gantri.com,http://www.instagram.com/gantri,"Beautifully designed, sustainably made. Discover lighting by internationally renowned designers.",
7,Genre Sports,"apparel, bicycle, fitness, health-wellness",genresports.com,,,sales@genresports.com,https://www.instagram.com/genresportswear,"Genre Sports is a renowned uniform factory in the USA, providing quality, custom made sports uniforms tailored to meet all your needs. Enjoy quick delivery!",
7,Gobi,beauty,gobicashmere.com,,,support-1@gobicashmere.com,https://www.instagram.com/gobicashmere,"Discover GOBI’s softest cashmere clothing, crafted from 100% Mongolian cashmere. Explore our online collection for timeless designs and exceptional comfort.",
7,Good Day Chocolate,"food, hair-care, home",gooddaychocolate.com,,,customerservice@gooddaychocolate.com; press@gooddaychocolate.com,https://www.instagram.com/gooddaychocolate,"Discover Good Day Chocolate—where wellness meets delicious, Fair Trade chocolate. Learn about our mission, ingredients, and commitment to quality!",
7,Grummies,"cookware, health-wellness",eatyourgrummies.com,,,hello@eatyourgrummies.com; support@eatyourgrummies.com,https://www.instagram.com/grummies,"Real Gummies With Clean Superfoods, Organic Sweeteners, And Flavors From Actual Fruit. Single Ingredient Gummies: Ashwagandha, Apple Cider Vinegar, Elderberry, And Turmeric.",
7,HelloFresh,"everyday-carry, food, jewelry",hellofresh.com,,,hello@hellofresh.ca; hello@hellofresh.com,https://instagram.com/hellofresh,"HelloFresh Meal Kits | One free item per box with active subscription. Free meals applied as discount on first box, new subscribers only, varies by plan.",
7,Hummingway,"beverage, health-wellness",ourhummingway.com,Ashley Greene; Olivia Khoury,Founder,,https://www.instagram.com/ourhummingway,Research-backed menstrual care products designed to promote mind and body wellness. Shop natural menstrual care products for support at every stage of your cycle.,
7,IGK Hair,"beauty, health-wellness",igkhair.com,,,hello@igkhair.com; press@igkhair.com,https://instagram.com/igkhair,"Founded by renowned hairdressers, IGK presents styling products for the modern generation. Shop our collection of hair products for a variety of hair types.",
7,Koio,"apparel, beauty, food",koio.co,,,hello@koio.co,https://www.instagram.com/koio,KOIO is a modern footwear brand. Discover our collection of timeless leather sneakers. Every pair is thoughtfully handcrafted in Italy. Explore now!,
7,Leesa,"home, lifestyle, pet",leesa.com,,,support@leesa.com,https://www.instagram.com/leesasleep,"Shop USA-designed hybrid, memory foam, and cooling mattresses for all sleep styles. Enjoy a 120-night trial, free shipping and returns. 40K+ donated to charity.",
7,LMNT,"health-wellness, luggage",drinklmnt.com,Luis Villase,Founder,,https://www.instagram.com/drinklmnt,"An electrolyte drink mix with everything you need & nothing you don't. No sugar. No artificial ingredients. No fillers. LMNT kickstarts your day, suppor...",
7,LVLUP Health,"food, health-wellness, lifestyle, personal-care-4, swimsuit",lvluphealth.com,Kyal Van Der,Founder,,https://www.instagram.com/lvluphealth,LVLUP Health delivers practitioner-grade supplements combining cutting-edge ingredients and botanicals to support optimal health and natural healing.,
7,Manly Bands,"beverage, everyday-carry, flower, home, jewelry",manlybands.com,,,hello@manlybands.com,https://www.instagram.com/manlybands,"Find your perfect wedding band at Manly Bands. Explore unique, high-quality rings crafted from premium materials, designed to fit your style. Shop bold collections for men and women that stand out.",
7,Manual,"furniture, health-wellness, lifestyle",manual.co,,,help@manual.co,https://www.instagram.com/menofmanual,No waiting rooms or awkward conversations. Clinically proven treatments to your door. The most effective treatments. Backed by science. 365-Day Patient Support. Subscription Service.,
7,MDacne,beauty,mdacne.com,,,support@mdacne.com,https://www.instagram.com/mdacne,"Effective acne treatment made for you. Clear your skin with a customized, dermatologist-formulated acne treatment kit. Start Your Treatment.",
7,Nood,"bicycle, luggage, personal-care-4",trynood.com,,,support@nood.com,https://www.instagram.com/trynood,Nood: #1 at-home IPL hair removal and skin rejuvenation device. Permanent results with our Flasher 2.0 and Flasher Pro. Over 1M customers. Shop now.,
7,O Positiv,"cookware, hair-care, health-wellness",opositiv.com,,,hello@opositiv.com,https://www.instagram.com/opositiv,"Science-backed products for womenâs health, from PMS through menopauseâhormone balance, vaginal health, gut support & more. Shop trusted womenâs vitamins.",
7,Perelel,"beauty, health-wellness",perelelhealth.com,,,hi@perelelhealth.com; pr@perelelhealth.com,https://www.instagram.com/perelelhealth,"Made using only clinically-backed ingredients in their most bioavailable formats. | Fertility, Prenatal, Postnatal, Perimenopause & Beyond",
7,Pet Plate,"fitness, home, pet",petplate.com,,,petcare@petplate.com,https://www.instagram.com/petplate,"Looking for Reviews of Fresh Dog Food? You've come to the right place. Subscribers (and Pets!) unanimously agree, PetPlate hits the spot. Starting for less than $3/day.",
7,PrettyLitter,"lifestyle, pet",prettylitter.com,,,meow@prettylitter.com,https://www.instagram.com/prettylitter,Odor-controlled & health monitoring cat litter delivered straight to your door for free. Enjoy hassle-free cat litter & sign up for our monthly cat litter subscription today!,
7,PrettyLittleThing,"apparel, hair-care, jewelry",prettylittlething.com,,,customerservices@prettylittlething.com,https://www.instagram.com/prettylittlething,"Shop the latest in women's fashion and accessories with PrettyLittleThing, the generation-defining style source for every kind of It Girl.",
7,Sand Cloud,"beauty, jewelry, lifestyle, luggage",sandcloud.com,,,customerservice@sandcloud.com,https://www.instagram.com/sandcloud,"Sand Cloud is on a mission to help save Marine Life. As we continue to grow our brand, we are focused on creating the best sustainable products in the world.",
7,Scentbird,personal-care-4,scentbird.com,,,influencer@scentbird.com; support@scentbird.com,https://instagram.com/scentbird,"Join our fragrance subscription: $8.97 your first month, then $17.95 each month. Over 1000 scents, free shipping, cancel anytime.",
7,Seedlip,"beverage, health-wellness",seedlipdrinks.com,Ben Branson Inspired,Founder,,https://www.instagram.com/seedlipdrinks,"Non Alcoholic Drinks from Seedlip, Distilled Non Alcoholic Spirits. Discover our Range of Drinks Including Easy to Make Non Alcoholic Cocktails with Recipes. Shop Now.",
7,Sham Foam limited,health-wellness,shamfoam.com,,,info@shamfoam.com; support@shamfoam.com,https://www.instagram.com/featherfresh_mattress,"Shop premium mattresses at Sham foam. Find memory foam, hybrid, and orthopedic mattresses with free delivery, from direct factory, and 10-year warranty. Sleep better tonight.",
7,Snap Supplements,"cookware, health-wellness, kids, lifestyle",snapsupplements.com,,,support@snapsupplements.com,https://www.instagram.com/snap_supplements,"Snap Supplements uses modern science and natural ingredients so that you can be the best you. Optimize your health with superfoods, herbs, minerals, and more!",
7,Software,"bicycle, cookware, flower, health-wellness",skin.software,,,hello@skin.software,https://www.instagram.com/skin.software,Get a medical-grade formula custom made to treat your skin concerns online. Get support on your skin journey from our team of doctors today.,
7,Tecovas,personal-care-4,tecovas.com,,,alton.chaney@tecovas.com,https://www.instagram.com/tecovas,"Tecovas offers beautiful, handmade western boots & accessories sold directly to you at honest prices. Free shipping, returns, & exchanges.",
7,Ten Thousand,"fitness, personal-care-4",tenthousand.cc,,,support@tenthousand.cc,https://www.instagram.com/tenthousand.cc,"Shop purpose-built training gear at Ten Thousand. Designed by athletes — engineered for performance, comfort, and long-lasting durability. Enjoy free shipping on orders over $100.",
7,trendy blends llc,"beauty, hair-care",mytrendyblends.com,,,info@mytrendyblends.com,https://www.instagram.com/mytrendyblends,"Shop the best 18% Vitamin C Serum with Niacinamide and Hyaluronic Acid. Paraben-free, cruelty-free, and affordable. Get glowing skin today!",
7,Trifecta,food,trifectanutrition.com,,,info@trifectanutrition.com,https://instagram.com/trifecta,"As Seen On Netflix: Trifecta gives you the food, the advice, and the community support you need to achieve your goals. We do the meal planning, shopping, and cooking, so you can focus on everything el",
7,Tubby Todd,"cookware, fitness, kids, swimsuit",tubbytodd.com,,,customercare@tubbytodd.com,https://www.instagram.com/tubbytodd,"Gentle, clean-ingredient skin & hair care made for baby's and family's sensitive skin. Dermatologist tested, mama-approved. Shop best sellers, bundles & more. Free of parabens, sulfates & synthetic fr",
7,Typology,"personal-care-4, pet",typology.com,,,b33e9ec63697491e947422a13334648f@sentry.front-monitoring.typology.com; partnershipus@typology.com,https://www.instagram.com/typologyparis,"We study the right ingredients for each skin typology. Our skincare is naturally active, sustainable, vegan, and made in France.",
7,Yumi,"beverage, everyday-carry, food, luggage",helloyumi.com,,,markie@helloyumi.com,https://instagram.com/yumi,"YUMI is a leader in stage-based nutrition for baby and kids. Organic, nutrient dense, dairy free, gluten free, Clean Label Project approved.",
6,1THRIVE,"bicycle, fitness, home, jewelry, personal-care-4",1thrive.com,,,,https://www.instagram.com/1thrive,"Wall organizers simplified. One home and one command center. Our 1THRIVE Centers bring organization, clarity, and harmony to your home with flexibility and style. Find a wall organizer perfect for you",
6,A1bodyfuel,"beverage, food",a1bodyfuel.com,,,admin@a1bodyfuel.com; grant@a1bodyfuel.com,https://www.instagram.com/a1bodyfuel,"Premium body fuel and pre-workout supplements to boost energy, strength and workout performance. Trusted fitness nutrition brand in the USA.",
6,Abbott NYC,"beauty, home",abbottnyc.com,,,help@abbottnyc.com,https://www.instagram.com/abbottnyc,unisex clean fragrances inspired by natural destinations,
6,Absorption Company,"food, hair-care, health-wellness, pet",absorbmore.com,,,hello@absorbmore.com,https://www.instagram.com/absorb.more,"Optimize your nights with Sleep and Restore, highly absorbable formulas designed to help your body repair, rehydrate, and recover overnight.",
6,Act + Acre,"flower, hair-care, jewelry",actandacre.com,,,hello@actandacre.com,https://www.instagram.com/actandacre,"Trichologist tested and approved. Meet scalp-positive systems to tackle all of your scalp concerns, from itchy scalp to hair loss.",
6,Active Foods,"food, health-wellness",activefoods.sugarfit.com,,,help@sugarfit.com,https://www.instagram.com/sugar.fitfoods,LOWERS SUGAR SPIKES | MANAGES WEIGHT | LOW GI,
6,AgelessRX,"apparel, furniture, health-wellness, home",agelessrx.com,,,info@agelessrx.com,https://www.instagram.com/agelessrx_,"AgelessRx offers science-backed longevity prescriptions shown to enhance your healthspan and wellness, like Metformin, NAD+, LDN, and more—all with fast delivery.",
6,Airsign,"beverage, home, pet",airsign.co,,,press@airsign.co; support@airsign.co,https://instagram.com/airsign,"Airsign is a new-age vacuum and appliance company with an obsession for design, powerful engineering, and the environment.",
6,AIRWAAV,"fitness, lifestyle, pet",airwaav.com,,,customerservice@airwaav.com,https://www.instagram.com/airwaav,INTRODUCING AIRWAAV. A performance mouthpiece engineered for serious athletes who demand serious results.,
6,Alexandria Professional,personal-care-4,alexandriaprofessional.com,,,info@alexandriapro.com,https://instagram.com/alexandria_professional,Alexandria Professional® is the leader of professional body sugaring and hair removal in the beauty industry worldwide! Discover our mission and commitment.,
6,All Things Barbecue,"everyday-carry, food",atbbq.com,,,customerservice@atbbq.com; support@atbbq.com,https://www.instagram.com/atbbq,ATBBQ is the BBQ store that helps you make better food & find comfort in your outdoor space. We provide tools & advice you need.,
6,Amika,"hair-care, pet",loveamika.com,,,info@biorius.com; info@loveamika.com; info@loveamikapro.com; pr@loveamika.com; pro-education@loveamika.com,https://www.instagram.com/amika,"all hair is welcome: 11 collections for every hair concernâno matter ethnicity, age or gender. We were kind & clean before it was a thing. Haircare that has always been cruelty-free, formulated with",
6,Aplos,beverage,aplos.world,,,hello@aplos.world; sales@aplos.world,https://www.instagram.com/aplos.world,"Functional, non-alcoholic spirits and cocktails that calm and uplift without the negative effects of alcohol.",
6,Article One,"apparel, beauty, home",articleoneeyewear.com,,,service@articleoneeyewear.com,https://instagram.com/articleone,Article One exists to create heirloom eyewear that becomes part of your story.,
6,Atoms,"apparel, beverage, everyday-carry, lifestyle",atoms.com,,,support@atoms.com; support@storefront.com,https://www.instagram.com/atoms,"Atoms are the most comfortable shoes for everyday wear. Elastic laces, copper lining, breathable materials, and simple design make them the best shoes for every day.",
6,Babylist,"apparel, cookware, health-wellness, kids",babylist.com,,,support@babylist.com,https://www.instagram.com/babylist,"Babylist is the best baby registry for growing families. Add baby gear from any store including Amazon, Target, and Etsy. Start building your registry today!",
6,Backdrop,"beauty, furniture, home, luggage",backdrophome.com,,,hello@backdrophome.com,https://www.instagram.com/backdrop,"Welcome to Backdrop online paint store. We offer easy color sampling and all the painting supplies you need sent directly to you with fast, free shipping.",
6,Ballard Products,"hair-care, lifestyle",ballard-inc.com,,,gearguru@ballard-inc.com; support@ballard-inc.com,https://www.instagram.com/ballardproducts,"Ballard offers innovative lawn care solutions for outdoor professionals. Get advanced power equipment, mowing blades, lawn care accessories, and parts.",
6,Bev,beverage,drinkbev.com,,,info@bev.com,https://www.instagram.com/drinkbev,"A canned adult beverage that's crisp, dry, and a little fizzy - Bev has the goal of creating a brand centered around an inclusive, respectful drinking culture.",
6,BlendJet,"food, home, luggage",blendjet.com,,,support@blendjet.com; wholesale@blendjet.com,https://www.instagram.com/blendjet,The BlendJet 2 portable blender packs big blender power on the go. It crushes ice or almost anything. It even cleans itself. It's USB-C rechargeable and water-resistant too. Get your BlendJet 2 today!,
6,Bonsoir,"beverage, food, home",bonsoirs.com,,,bonjour@bonsoirs.com,https://www.instagram.com/bonsoirs_home,Linge de lit haut de gamme qualité hôtel - 60 nuits d'essai sans engagement - Livraison gratuite,
6,Brok,"cookware, furniture, pet",brok.shop,,,info@brok.shop,https://www.instagram.com/brokvoeding,Ga voor gezonde hondenvoeding van BROK en hou je hond gezond en gelukkig! BROK heeft een hoog vleesaandeel met de juiste balans.,
6,Brumate,"apparel, lifestyle",brumate.com,,,brusforcrews@brumate.com; bulkorders@brumate.com; custom@brumate.com,https://www.instagram.com/brumate,"Shop BrüMate's award-winning insulated tumblers, leakproof drinkware, insulated coolers, and hydration packs. Built for your every day and every adventure. Made for stress-free sips from the first to ",
6,Brunt,"apparel, cookware, everyday-carry, furniture, lifestyle, swimsuit",bruntworkwear.com,,,crew@bruntworkwear.com; footer-links-crew@bruntworkwear.com,https://www.instagram.com/bruntworkwear,BRUNT builds high-quality work boots and apparel that's designed with real tradesmen at a price that won't break the bank.,
6,Burton,"fitness, furniture, health-wellness",burton.com,,,info@burton.com,https://www.instagram.com/burton,"Burton Snowboards brings the spirit of riding to you wherever you are. Break free, choose your line, and enjoy the ride.",
6,BYLT Basics,"apparel, hair-care",byltbasics.com,,,support@storefront.com,https://www.instagram.com/byltbasics,Men's Basics are evolving. BYLT Underwear and BYLT Shirts. Get BYLT's new line of Men's Premium Basics online at a fair price. BYLTÂ® - Confidence starts...,
6,Caats,"fitness, pet",caats.co,,,info@caats.co,https://www.instagram.com/caats,"Caats ce sont les meilleures croquette et pâtée pour chat sur abonnement. En quelques clics, parle nous de ton chat et découvre son menu.",
6,Caraway,"cookware, luggage",carawayhome.com,,,hello@carawayhome.com; help@carawayhome.com; press@carawayhome.com,https://www.instagram.com/caraway_home,"Elevate your kitchen with Caraway's Deluxe Cook & Bake Set. This all-in-one collection includes our Cookware Set, Minis Duo, and Bakeware Set, all with non-toxic ceramic coatings for easy cleanup, sup",
6,Carme,"beauty, home",carmehome.com,,,hello@carmehome.com; marketing@carmehome.com,https://www.instagram.com/carme_home,"Our collections range from hollywood mirrors, dressing tables to luxury mirrored furniture, and functional mirror jewellery cabinets with LED lights",
6,Chimi,"apparel, cookware, lifestyle",chimi-online.com,Daniel Djurdjevic,Founder,,https://www.instagram.com/chimi,"Founded in Stockholm in 2016 on the idea of creating eyewear, ready-to-wear and accessories engineered for a fearless lifestyle.",
6,Comfrt,"apparel, furniture, personal-care-4",comfrt.com,,,info@comfrt.com,https://www.instagram.com/comfrt,"Comfrt was created to provide versatile, and superior comfortable clothing. Our hoodies are slightly weighted with special fabric that our customers claim to help with their anxiety and stress. All of",
6,Cowboy,"bicycle, cookware",cowboy.com,,,hello@cowboy.com; recallteam@cowboy.com,https://www.instagram.com/cowboybike,"Cowboy is the first connected, electric bike that offers urban riders freedom to take the streets. The fastest way to get around your city. And beat the câ¦",
6,Cuts,"apparel, food, luggage, swimsuit",cutsclothing.com,,,info@cutsclothing.com,https://www.instagram.com/cuts,"Weâre for athletes pushing their limits, creators shaping culture, and builders turning vision into reality. At Cuts, we outfit those driven to achieve ...",
6,DKNY,apparel,dkny.com,,,service@dkny.com,https://www.instagram.com/dkny,"Shop the latest clothing, shoes, bags, and accessories from DKNY.",
6,Dogdrop,"beverage, kids, luggage, pet",dogdrop.co,,,dallas@dogdrop.co; hello@dogdrop.co; jerseycity@dogdrop.co; nashville@dogdrop.co,https://www.instagram.com/dogdropco,"GuarderÃ­a para perros de juego abierto cobrada por hora, sin reservaciones. 6 ubicaciones en CA, TX, CO y FL. MembresÃ­as desde 5 hrs/mes. Comienza con una Prueba de Compatibilidad gratis.",
6,Elieve Beauty and Wellness,"beauty, everyday-carry",elievebeautyandwellness.com,,,info@elievebeautyandwellness.com,https://www.instagram.com/elievebeautyandwellness,"We offer advanced skin, hair, and body contouring solutions. No Downtime. Certified Dermatologists. US-FDA Approved. Proven Results. Book an appointment now!",
6,Enso Rings,"cookware, jewelry, lifestyle",ensorings.com,,,support@ensorings.com,https://www.instagram.com/ensorings,"Explore Enso silicone ringsâdesigned for durability and comfort. Perfect for active lifestyles, each comes with a lifetime warranty.",
6,Eureka Forbes,"fitness, home, luggage",eurekaforbes.com,,,customercare@eurekaforbes.com,https://www.instagram.com/eurekaforbesofficial,"Explore our range of best selling water purifiers & vacuum cleaners. Get up to ₹2000 off on exchange, Flat 10% off on all Debit and Credit cards* & avail additional discounts with coupon. Buy now.",
